Name	Set	ImageFile	Type	Class	VP	Flying	Size	Vitality	Vit. Red	OCB	Babes	Gold	Beer	Channeling	Channeler	Ranged attack	Command	Power stones	basic draw	LDL	MDL	LUC	Effect	Bonus	Script
Skeletal Minion	RE	SkeletalMinionExternalUndeadCommon1.png	external	Undead             			M 	5		1				C									If lost in combat, you can return the Skeletal Minion to your Storage Hand for one Power Stone.		
Slippery Slime	RE	SlipperySlimeExternalRare2.png	external				L 	4		0													When in the Combat Hand, the Slime can switch places with a Creature of yours that just lost a match-up.  Creature that lost returns to your Combat Hand.		
Sphinx	RE	SphinxExternalUncommon1.png	external				M 	5		0			B				Y						After both sides have picked (but not shown) match-up cards, opponent must guess the border color. If wrong, your creature gets +3 Vitality.		
Tiny Flying Fungus	RE	TinyFlyingFungusExternalFungusCommon1.png	external	Fungus             		F	S	4	5	0						2							2 pt. ranged attack		
Valkyrie Spirit	RE	ValkyrieSpiritExternalunnamedRare2.png	external				M 	7		0		G			3								Can channel to Knights only - even to Knights that normally cannot accept channeling.		
Vampire	RE	VampireExternalUndeadCommon1.png	external	Undead             			M 	9		3													If Vampire beats an oppoent who has accepted channeling in this combat, your opponent loses 2 Power Stones.		
Vampire Lord	RE	VampireLordExternalUndeadRare2.png	external	Undead             			M 	12		3													If Vampire Lord beats an opponent who has accepted channeling in this combat, opponent loses 2 Power Stones. All your Vampires are +3 Vitality when Vampire Lord is in play.		
Wailing Specter	RE	WailingSpecterExternalUndeadUncommon1.png	external	Undead             			M 	8		0							Y						4 pt. AOE fear attack.		
Water Nymph	RE	WaterNymphExternalNymphCommon2.png	external	Nymph              			M 	7		2		G											+3 in rivers and lakes		
White Unicorn	RE	WhiteUnicornExternalUnicornRare1.png	external	Unicorn            			M	7	10	0													Destroys Undead, Demons, Devils and Black Unicorns.		
Wild Nymph	RE	WildNymphExternalNymphCommon1.png	external	Nymph              			S 	4		1		G		C									+1 in the woods		
Will'o the Wisp	RE	WillotheWispExternalFairyUncommon1.png	external	Fairy              			S	4	7	0				C		4							4 pt. ranged attack		
Winterseed's Maiden	RE	WinterseedsMaidenExternalFairyUncommon1.png	external	Fairy              			S	6	7	0		G			3								Can channel to Fairies only -- even to Fairies that normally cannot accept channeling.		
Winterseed's Mistress	RE	WinterseedsMistressExternalFairyUncommon1.png	external	Fairy              			S 	5		0		G		C	2								Can channel to Fairies only -- even to Fairies that normally cannot accept channeling.		
Wood Nymph	RE	WoodNymphExternalNymphCommon1.png	external	Nymph              			M 	8		3													'+3 in the woods		
Wraith	RE	WraithExternalUndeadRare2.png	external	Undead             			M 	8		0				C									Can accept up to 16 pts. of channeling. +5 Vitality Vs. Creatures defending in Strongholds.		
Zombie	RE	ZombieExternalUndeadUncommon1.png	external	Undead             			M 	7		2				C									The arcane mutterings of the twisted, spawn the animated filth that walk the hidden ways.		
Barrow Wight	DI	BarrowWightExternalUndeadCommon3.png	external	Undead             			M 	8		2													The Barrow Wight is +4 Vitality when it is a secondary attacker.		
Bone Fright	DI	BoneFrightExternalUndeadRare3.png	external	Undead             			L 	7		2													Opponent must use all ranged attacks possible against it		
Buster Scrimbo	DI	BusterScrimboExternalWandererCommon3.png	external	Wanderer           			M 	4		2			B										If Buster is your Up-card before cards are drawn in the Draw and Organize Phase, draw 1 additional card.		
Cactus McFingers	DI	CactusMcFingersExternalWandererCommon2.png	external	Wanderer           			M 	4		1	L						Y						If McFingers is alive after combat and you won control of the space, you may play a Terrain card under this Shield immediately, removing any Terrain card that your opponent may have had there first.		
Elandar, Mighty Wizard	DI	ElandarMightyWizardExternalWandererRare1.png	external	Wanderer           			M 	6		0		G					Y						Blanks out all Creature text boxes		
Great Horned Troll	DI	GreatHornedTrollExternalTrollRare3.png	external	Troll              			L 	9		0		G					Y						When you are defending a space, your opponent must retreat, pay 1 Power Stone or discard two cards from his/her Storage Depot before primary attacks.		
Green Missy	DI	GreenMissyExternalFairyCommon4.png	external	Fairy			M	6		2		G											+3 in the swamp		
Grotto Troll	DI	GrottoTrollExternalTrollCommon3.png	external	Troll              			M 	3		0			B				Y						All of your Creatures are +2 Vitality while fighting in Rivers and Lakes.		
Hal, a Tosis Dragon	DI	HalaToasisDragonExternalDragonRare2.png	external	Dragon             		F	L	9		1	L		B	C			Y						During primary attacks, if an opponent's Creature wins a macth-up by less than 5 Vitality, both match-up cards are destroyed.		
Howling Reaver	DI	HowlingReaverExternalUndeadCommon2.png	external	Undead             			M 	5		1													If the Howling Reaver beats an opponent as a primary attacker, your opponent must discard one random card from his/her Creature pen.		
Jambo Slick, Smuggler	DI	JamboSlickSmugglerExternalWandererCommon1.png	external	Wanderer           			M 	4		1	L	G	B				Y						Immediately pull any one Bribery card from your Discard pile, reveal it, and add it to your Storage Depot.		
Jamchops the Trader	DI	JamchopstheTraderExternalWandererCommon3.png	external	Wanderer           			M 	4		0	L	G	B				Y						Any Bribery card you play works vs. any bribable Creature.		
Jonstollo the Seeker	DI	JonstollotheSeekerExternalWandererCommon4.png	external	Wanderer           			M 	7		3			B										When the Seeker is your Up-Card, you may immediately look through your draw deck and pick any other card as your Up-Card. Discard the Seeker. Reshuffle your deck.		
Land Drake	DI	LandDrakeExternalDragonRare3.png	external	Dragon             			L 	18		5	L												3 point AOE Fire breath.		
Lowland Troll	DI	LowlandTrollExternalTrollCommon2.png	external	Troll              			L 	8		0	L												+3 Vitality when your Shield is attacking.		
Old Gumper	DI	OldGumperExternalFairyCommon4.png	external	Fairy              			S 	3		1			B										Your opponent gets no off-color bonuses vs. your Externals while Gumper is in play.		
Razor Shiefa	DI	RazorShiefaExternalSliphCommon4.png	external	Sliph        			M	7		1		G											+4 in the Spires		
Razor Sliph	DI	RazorSliphExternalSliphRare3.png	external	Sliph              			M 	5		0			B										+3 in the Spires		
Schneebolt	DI	SchneeboltExternalSchneeCommon2.png	external	Schnee             			S 	3		0			B										Ranged attack - Cancels an opponent's ranged attack.		
Shadrune	DI	ShadruneExternalUndeadRare3.png	external	Undead             			M 	9		0													If beaten by in a match-up by a Creature who can accept channeling, your opponent loses 1 Power Stone.		
Slimwit Man	DI	SlimwitManExternalWandererRare2.png	external	Wanderer           			M 	3		0	L						Y						Opponent must chose to retreat now or fight.  If opponent stays, all opponent's Creatures are +2 Vitality. If you win the combat, all of your opponent's Creatures under that Shield are destroyed.		
Starling Dodd Boys	DI	StarlingDoddBoysExternalFairyCommon3.png	external	Fairy              			S 	4		2		G											All of your Fairies bypass your opponent's Stronghold Vitality bonus while the Dodd Boys are in play.		
Valley Troll	DI	ValleyTrollExternalTrollCommon4.png	external	Troll              			S 	3		2		G											Immune to fear.		
Barnacle Bazulee'	DN	BarnacleBazuleeExternalCreatureR4.png	external	Wanderer           			S 	3		1		G											+2 Vitality to all your Creatures which have a Rivers and Lakes Terrain bonus, while Barnacle is in play.		
Captain South America	DN	CaptainSouthAmericaExternalCreatureR1.png	external	O-Men              			M	1	10	1	L	G	B										When the Captain is played as a primary attacker, add your Shield's Up-card number to the Captain's Base Vitality.		
Cratur Hobbs	DN	CraturHobbsExternalCreatureU2.png	external	Wanderer           			M 	4		0	L	G	B				Y						You may bribe any 1 bribable Creature during combat by discarding one Item from your Storage Hand.		
Delilah Rangoon	DN	DelilahRangoonExternalCreatureC1.png	external	Wanderer           			M 	6		2		G											When used as a primary attacker vs. a Mortal, the initial result is a push.		
Disgruntled Postal Worker	DN	DisgruntledPostalWorkerExternalCreatureU2.png	external	Wanderer           			M 	6		0			B										If Postal Worker beats its primary match-up opponent, return Postal Worker to your Combat Hand. Opponent Creature remains as an Unchallenged Card in melee.		
Handles O'Rourke	DN	HandlesORourkeExternalCreatureR1.png	external	Wanderer           			M	6		0	L						Y						Can fire 3 pt. Ranged attacks into any primary match-up for 1 power stone per shot.		
Karnis the Transcender	DN	KarnistheTransenderExternalCreatureU2.png	external	Wanderer           			M 	8		2		G		C									While Karnis is in play and unbeaten, all d6 rolls are reduced to a 1.		
Longshot Louie	DN	LongshotLouieExternalCreatureU3.png	external	Wanderer           			M 	7		2	L	G	B	C									Ranged attack - destroys any non-Guardian Creature which has just channeled and cancels that channel.		
Randy Creek Regulars	DN	RandyCreekRegularsExternalCreatureR1.png	external	Fairy              		F	S	6		0			B				Y						All your Fairies are channel receivers this combat and can take up to Guardians CMP; one per space per player		
Slatch Willer	DN	SlatchWillerExternalCreatureC3.png	external	Wanderer           			M 	5		1			B										For each Beer Bribery Card discarded from your Combat Hand, Slatch gains +5 Vitality.		
The Amazing Cider-Man	DN	TheAmazingCiderManExternalCreatureU1.png	external	O-Men              			M 	6		2			B										While Cider-Man is in play, all of your Creatures bribable by Beer gain +2 Vitality.		
Tiger Baloo	DN	TigerBalooExternalCreatureC4.png	external	Wanderer           			M 	8		1													+3 Vitality on a Face-down Terrain Card.		
Vesuvious Rex	DN	VesuviousRexExternalCreatureR3.png	external	Dragon             		F	L	13		0	L			C									Immune to secondary attackers with Base Vitality 5 or less.		
Whalebone Rick	DN	WhaleboneRickExternalCreatureU4.png	external	Wanderer           			M 	4		0		G											+3 Vitality for each Creature Item used as a Command Card in this combat.		
Woodland Troll	DN	WoodlandTrollExternalCreatureC4.png	external	Troll              			S 	4		1	L												+4 Vitality for each Nymph you have in play.		
Woolverine	DN	WoolverineExternalCreatureC4.png	external	O-Men              			M 	6		2	L		B										While Woolverine is in play, your opponent must tell you the class of his Creatures in match-ups before you pick yours.		
Chief Lector Priest of Sethos	NP	ChiefLectorPriestofSethosExternalCreatureUncom3.png	external	Undead             			M 	2		1							Y						Change the Creature Class of any of your Undead Creatures to one of your choice until the end of primary match-ups.		
Dead Cats	NP	DeadCatsExternalCreatureCommon2.png	external	Undeal/Animal      			S	3	5	0													When Dead Cats are in play and beaten, all of your Creatures gain +2 Vitality.		
Eater of the Dead	NP	EateroftheDeadExternalCreatureCommon2.png	external	Undead             			M 	5		0			B				Y						All Creatures on both sides beaten during primary attacks are destroyed.		
Evil Baron Stoner	NP	EvilBaronStonerExternalCreatureCommon2.png	external	Wanderer           			M 	3		0			B										The Baron adds his match-up opponent's Off-Color bonus to his Vitality.		
Fan Bearer	NP	FanBearerExternalCreatureCommon2.png	external	Undead             			M 	4		1													If the Fan Bearer's primary match-up opponent is a Creature capable of flying, that Creature immediately returns to the Creature Pen.		
Fatback Chak	NP	FatbackChakExternalCreatureCommon1.png	external	Chak               			L	8	7	0													No secondary attackers may be played on this match-up by either player.		
Geldspar, Court Magician	NP	GeldsparCourtMagicianExternalCreatureCommon2.png	external	Wizard             			M 	4		1				C									While Geldspar is in play, your opponent may not play any Hand Magic Items.		
Greenback Chak	NP	GreenbackChakExternalCreatureCommon2.png	external	Chak			M	3		1													Destroys Small creatures.		
High Priest of Sethos	NP	HighPriestofSethosExternalCreatureUncom1.png	external	Undead             			M 	5		0	L						Y						Both players must immediately discard all double-bordered cards.		
High Priestess of Isis	NP	HighPriestessofIsisExternalCreatureUncom3.png	external	Undead             			M 	4		0		G		C			Y						Change the Creature Class of any of your opponent' Mortals to that of your choice during primary match-ups.		
Imhotep, Visier of Djoser	NP	ImhotepVisierofDjoserExternalCreatureUncom1.png	external	Undead             			M 	4		1													If Imhotep wins a primary match-up, you can take any one Accessory and put it in play next to your Guardian. If the Accessory is removed from play for any reason, the Accessory goes to your opponent's discard pile.		
Moheidra, Mistress of Souls	NP	MoheidraMistressofSoulsExternalCreatureCommon2.png	external	Undead             			M	0	4	0													Add the Base Vitality of you opponent's previous match-up Creature to Moheidra's Vitality.		
Mummy	NP	MummyExternalCreatureCommon2.png	external	Undead             			M 	7		0													Fear-based attack. During primary match-ups, if the Mummy beats a Creature which is affected by fear, that Creature is destroyed.		
Nubian Slave Girl	NP	NubianSlaveGirlExternalCreatureCommon2.png	external	Undead             			M 	2		0		G											When played in a primary match-up you may choose to have the Slave Girl distroyed, ending the match-up, and leaving her opponent as an Unchallenged Card in mellee. You may then add a Gold Bribery Card from your discard pile to your storage Depot. One per space, per player		
Pharaoh Djoser 	NP	PharaohDjoserExternalCreatureCommon2.png	external	Undead             			M 	2		1							Y						No Spells may be played during this combat. This ability cannot be disspelled.		
Plague Walker	NP	PlagueWalkerExternalCreatureCommon2.png	external	Undead             			M 	5		1			B										Fear-based attack. +2 to all fear-based attacks when Plague Walker is in play.		
Preist of Horus	NP	PreistofHorusExternalCreatureUncom1.png	external	Undead             			M 	5		0		G		C			Y						During any primary match-up, you may spend 1 Power Stone to empty the text box of your opponent's Creature. Doesn't affect ranged attacks.		
Priest of Sethos	NP	PriestofSethosExternalCreatureUncom1.png	external	Undead             			M 	3		1				C			Y						No Power Stones may be spent for channeling during this combat.		
Priestess of Isis	NP	PriestessofIsisExternalCreatureCommon2.png	external	Undead             			M 	12		3													+1 Vitality for each single-bordered card in your Combat Hand when the Priestess is played.		
Sebek, Queen of Magicians	NP	SebekQueenofMagiciansExternalCreatureUncom1.png	external	Undead             			M 	6		0		G		C			Y						Immediately discard any one Spell from your Storage Hand to add any one Spell from your draw deck to your Storage Hand. Reshuffle your draw deck.		
Slackback Chak	NP	SlackbackChakExternalCreatureCommon2.png	external	Chak               			M 	10		0													The Slackback must be beaten by 3 or more points of the result is a push.		
Slim Jab	NP	SlimJabExternalCreatureCommon2.png	external	Saurian/Undead     			S 	3		1			B			1							1 pt. ranged attack that is only usable when fighting an External. Opponent must discard 1 double-bordered card when Slim Jab is used as a ranged attack.		
Theib, Master of Scribes	NP	TheibMasterofScribesExternalCreatureCommon2.png	external	Undead             			M 	4		0	L						Y						If your opponent's Command Card is a Spell or Item, Theib gains that command ability and opponent's command Spell or Item is dispelled.		
Finn, Swamp King	RE	FinnSwampKingGuardianRare2.png,FinnSwampKingGuardianRare2.png	guardian					27							8			6	2	-1	0	1	During the Draw and Organize Phase, draw 1 extra card for each Swamp you control.		/ccgreen=6
Gaar, Influencer of the Masses	RE	GaarInfluenceroftheMassesGuardianRare1.png,GaarInfluenceroftheMassesGuardianRare1.png	guardian					28							5			8	3	-1	1	1	For 2 Power Stones, you can channel 5 pts. to a Creature which is not a Channeling Receiver.		/ccgreen=8
Harkin, Spreader of the Wealth	RE	HarkinSpreaderoftheWealthGuardianRare2.png,HarkinSpreaderoftheWealthGuardianRare2.png	guardian					29							6			10	3	-1	1	1	You may not repeatedly channel to the same Creature in combat. (Max 6 pts. to any one Creature.)		/ccgreen=10
Rak Nam, Leader of the Mighty	RE	RakNamLeaderoftheMightyGuardianStarter.png,RakNamLeaderoftheMightyGuardianStarter.png	guardian					30							9			7	3	-1	1	1			/ccgreen=7
Siin, Stealer of the Power	RE	SiinStealerofthePowerGuardianStarter.png,SiinStealerofthePowerGuardianStarter.png	guardian					28							6			8	3	-1	1	1	After an opponent channels, you may cancel it for 2 Power Stones. No further channeling is allowed this combat by either combat		/ccgreen=8
Tes let, Leader with Foresight	RE	TesLetLeaderwithForesightGuardianStarter.png,TesLetLeaderwithForesightGuardianStarter.png	guardian					29							7			6	3	-1	1	1	You can choose not to take your Up-card as your first draw and instead draw from the deck.		/ccgreen=6
Thak, Steady Hand	RE	ThakSteadyHandGuardianRare2.png,ThakSteadyHandGuardianRare2.png	guardian					27							5			6	3	0	1	1	Slipping down the slope can be fatal to the weak of heart.		/ccgreen=6
Tookle, Leader of the Many	RE	TookleLeaderoftheManyGuardianRare2.png,TookleLeaderoftheManyGuardianRare2.png	guardian					27							5			7	3	-1	1	1	Draw one extra card during the Draw and Organize Phase if your Up-card was a small Creature.		/ccgreen=7
Grahzue: Lover of Vice	DI	GrahzueLoverofViceGuardianRare3.png,GrahzueLoverofViceGuardianRare3.png	guardian					29							6			8	3	-1	1	1	+1 Power Stone every time one of your creatures is bribed		/ccgreen=8
P'Tal: Keeper of the Balance	DI	PTalKeeperoftheBalanceGuardianRare2.png,PTalKeeperoftheBalanceGuardianRare2.png	guardian					26							6			5	3	-1	0	1	For 2 Power Stones, you may ignore your draw number for the turn and draw as many cards as an opponent of your choice.		/ccgreen=5
Sikura, Preceptor of  Prophets	DN	SikuraPreceptorofProphetsGuardianR2.png,SikuraPreceptorofProphetsGuardianR2.png	guardian					28							5			8	3	-1	1	1	Burn 2 Power Stones to dispell any Spell.		/ccgreen=8
Vek-Nadra, Master of Disciples	DN	VekNadraMasterofDisciplesGuardianR2.png,VekNadraMasterofDisciplesGuardianR2.png	guardian					28							6			7	2	0	0	0	During the Draw and Organize Phase, draw an extra card for each Shield you have in the disputed lands.		/ccgreen=7
Eisnmir, Master of Posessions	NP	EisnmirMasterofPosessionsGuardianCommon1.png,EisnmirMasterofPosessionsGuardianCommon1.png	guardian					26							7			5	3	-1	0	1	Draw 1 card anytime an opponent uses a Magic Item. (Errata: Hand item, draw top face-down card.)		/ccgreen=5
K'Hutek, Protector of the Fallen	NP	KHutekProtectoroftheFallenGuardianUncom2.png,KHutekProtectoroftheFallenGuardianUncom2.png	guardian					28							7			7	2	0	0	0	During the Draw and Organize Phase, draw an extra card for each Shield you have lost from play during this game.		/ccgreen=7
Ancient Tome of Dispansation	NP	AncientTomeofDispansationMagicItemAccessoryCommon1.png	item/accessory					9															Play next to your Guardian. At the beginning of the Terrain Settlement Phase, you may remove any one of your cards currently in use as a Terrain from play and add it to your Storage Hand. Usable once per turn.		
Ankh 	NP	AnkhMagicItemAccessoryCommon2.png	item/accessory					21															Play next to your Guardian. During the Terrain Settlement Phase, you may discard one card from your Storage Hand to add 1 to the number of cards you draw next turn. Usable once per turn.		
Footlocker of Conflagration	NP	FootlockerofConflagrationMagicItemAccessoryUncom2.png	item/accessory					2															Play next to your Guardian. During the Draw and Organize Phase, but before drawing cards, you may spend 1 Stone to go through your draw deck and remove one Shield, which counts as one of your card draws. Reshuffle the draw deck afterward. Up-card remains.		
Gift of Isis	NP	GiftofIsisMagicItemAccessoryCommon2.png	item/accessory					21															Play next to your Guaridan. Your Guardian's CMP is incresed by 2 for as long as the Gift of Isis is in play. If a Gift of Isis is in play, no others may be played.		
Gift of Osirus	NP	GiftofOsirusMagicItemAccessoryCommon2.png	item/accessory					21															Play next to your Guardian. Your Guardian is +3 Vitality for as long as the Gift of Osirus is in play. If a Gift of Osirus is in play, no others may be played.		
Heliopolos, Temple of Re	NP	HeliopolosTempleofReMagicItemAccessoryCommon2.png	item/accessory					21															Play next to your Guardian. Place one token on the Temple each time one of your Creatures beats an Undead opponent in combat. You may remove a token from the Temple during any match-up to add 2 Vitality to your current match-up Creature.		
Scarab of Bounty	NP	ScarabofBountyMagicItemAccessoryUncom2.png	item/accessory					21															Play next to your Guardian. +1 to your Guardian's LUC for as long as the Scarab is in play. If a Scarab of Bounty is in play, no others may be played. Costs 1 Stone to play.		
Amulet of Flying	RE	AmuletofFlyingMagicItemCreatureUncommon1.png	item/creature					16															Allows any Creature to fly. If the Creature is lost, the Amulet is lost.		
Heels of Speed	RE	HeelsofSpeedMagicItemCreatureUncommon2.png	item/creature					5															Play any Creature as a Command Creature. That Creature attacks your opponent's Command Creature before his/her command ability works. If your Creature is killed, you lose the Heels.		
Petrified Heart	DI	PetrifiedHeartMagicItemCreatureCommon3.png	item/creature					14															Allows one of your Creatures to use its Base Vitality for space limitation instead of its red Shield penalty number.		
The Black Eye	DI	TheBlackEyeMagicItemCreatureRare3.png	item/creature					17															Allows all Pirates on this space to fly.		
Altar of Takuli	DN	AltarofTakuliItemCreatureC4.png	item/creature					14															Heal one creature (after combat) for 1 Power Stone.		
Bagpipes of Fear	DN	BagpipesofFearItemCreatureU3.png	item/creature					9															Play along with ANY Creature as a Command Creature. That Creature gains a 3 pt. AOE fear attack, but loses any other command ability it may have had.		
Disc of Siin	DN	DiscofSiinItemCreatureC3.png	item/creature					6															Play as a Command Card. Roll 1d6. Your opponent can't channel against your first (1=no effect, 2=1, 3=2, 4=2, 5=3, 6=all) primary attacker(s).		
Mighty Tiki God	DN	MightyTikiGodItemCreatureU4.png	item/creature					19															Play as Command Card. Add 1d6 to your current primary match-up Creature's Vitality for each Bribery Card you discard.		
Wheel of Law	DN	WheelofLawItemCreatureU4.png	item/creature					13															Play as a Command Card. Both players must play their lowest Vitality Creature first, followed by the second lowest, etc.... Ranged attacks are allowed as normal.		
Vestibule of Kabod	NP	VestibuleofKabodMagicItemCreatureUncom1.png	item/creature					17															The vestibule allows you to ignore one small demon or devil from counting towards the space's Vitality limit. Limit 1 per space, per player		
Anvil of Heaviness	RE	AnvilofHeavinessMagicItemHandCommon1.png,CardBackDoubleBorder.png	item/hand					12															All attacks versus Creatures defending a Stronghold are +7 Vitality. Effect lasts for one combat. Play before combat starts.		
Eye of Missile Mayhem	RE	EyeofMissileMayhemMagicItemHandRare2.png,CardBackDoubleBorder.png	item/hand					15															Play after any primary attack has been resolved. All cards that you have played as ranged attacks in combat to this point return to your Combat Hand immediately.		
Hammer of Doom	RE	HammerofDoomMagicItemHandRare2.png,CardBackDoubleBorder.png	item/hand					11															Play at any time. Destroy a Terrain card of your choice.		
Holy Grail	RE	HolyGrailMagicItemHandRare2.png,CardBackDoubleBorder.png	item/hand					18															Play during the Draw and Organize Phase. All your Creatures lost that turn return to your Storage Hand. One Power Stone must be spent to use the Grail.		
Monolith of Power	RE	MonolithofPowerMagicItemHandUncommon1.png,CardBackDoubleBorder.png	item/hand					4															When played at the beginning of a turn on any space, no channeling is allowed within one space of Monolith for entire turn.		
Potion of Movement Essence	RE	PotionofMovementEssenceMagicItemHandUncommon2.png,CardBackDoubleBorder.png	item/hand					7															+1 movement to any shield that can move. This spell does not allow a Shield to move past a space that would normally stop it (an empty space, an enemy's shield, etc.) Play any time.		
Rocks of Skull Cracking	RE	RocksofSkullCrackingMagicItemHandCommon1.png,CardBackDoubleBorder.png	item/hand					9															Playable on any flying shield (while moving face-up). Kill as many flying Creatures as desired, but lose one Power Stone for each Creature destroyed.		
Rooster	RE	RoosterMagicItemHandCommon2.png,CardBackDoubleBorder.png	item/hand					7															Play at the beginning of a turn. Move first, even if you don't have the highest Up-card.		
Champs, the Wonder Dog	DI	ChampstheWonderDogMagicItemHandRare1.png,CardBackDoubleBorder.png	item/hand					19															Return any item from discard to hand for 1 stone; Champs returns as well, play during D&O		
Oppressed Slaves	DI	OppressedSlavesMagicItemHandCommon2.png,CardBackDoubleBorder.png	item/hand					2															Play after you kill a Shield in combat. Collect two Power Stones. You may only play one Oppressed Slaves card per Movement and Combat Phase.		
The Great Balderoon	DI	TheGreatBalderoonMagicItemHandCommon1.png,CardBackDoubleBorder.png	item/hand					16															Play when using a Pirate's ranged attack. The ranged attack works as normal, AND there is an immediate AOE attack of the same strength. Costs 1 Power Stone to play.		
10 Gallon Voodoo Hat	DN	10GallonVoodooHatItemHandU3.png,CardBackDoubleBorder.png	item/hand					4															Place face-up next to an opponent's Guardian during the Draw and Organize Phase. Each 10 Gallon Voodoo Hat next to a Guardian reduces the maximum size of that player's Storage Hand by 1 card. The Hat may only be removed or dispelled by burning 2 Power Stones.		
Head of Gudea	DN	HeadofGudeaItemHandR4.png,CardBackDoubleBorder.png	item/hand					22															Play at the beginning of any Phase. Cancel any one Guardian's special ability for the remainder of this turn.		
Little Voodoo Hat	DN	LittleVoodooHatItemHandR1.png,CardBackDoubleBorder.png	item/hand					20															Play next to own Guardian, get 1 Power Stone for every Stone gained by opponent (except from Little Voodoo Hat); reduces maximum Storage Hand size by 1, only dispelled by burning 2 Power Stones		
Medallion of Skyphos	DN	MedallionofSkyphosItemCreatureU2.png,CardBackDoubleBorder.png	item/hand					10															Play as a Command Card.  If your Up-card is a Small Creature, add it to your Combat Hand and make the Medallion your Up-card.		
Oscar the Wonder Chimp	DN	OscartheWonderChimpItemHandR1.png,CardBackDoubleBorder.png	item/hand					2															Return any Spell just cast to your Storage Hand for 1 Power Stone.		
Rock of Far Rolling	DN	RockofFarRollingItemHandC4.png,CardBackDoubleBorder.png	item/hand					5															Play during a primary match-up if your match-up Creature is a Giant. If your opponents Command Card is a Creature, that Creature is destroyed.		
Rosetta Stone	DN	RosettaStoneItemHandR1.png,CardBackDoubleBorder.png	item/hand					7															Play during the Terrain Settlement Phase. Take any 5 cards from your discard pile, add them to your draw deck, and reshuffle the draw deck. The Up-card remains the same. The Rosetta Stone may not be removed from your discard pile. Costs one Power Stone to play.		
Sarcophagus of Haidra	DN	SarcophagusofHaidraItemHandC4.png,CardBackDoubleBorder.png	item/hand					10															Play immediately after Up-cards have been revealed.  Add your Up-Card to your Storage Hand, replacing it with the Sarcophogus.		
Shroud of Grahzue	DN	ShroudofGrahzueItemHandR2.png,CardBackDoubleBorder.png	item/hand					13															Play immediately after a primary match-up is revealed. Opponent's non-bribable Creature immediately returns to his Creature Pen. Your Creature is considered an Unchallenged Card in melee.		
Standard of the Elements	DN	StandardoftheElementsItemHandU1.png,CardBackDoubleBorder.png	item/hand					1															Play during a primary match-up. If you have an Element as a Command Card, you may immediately use this card as a ranged attack, with a strength equal to your Command Card's Base Vitality.		
Tablet of Ancathus	DN	TabletofAncathusItemHandR1.png,CardBackDoubleBorder.png	item/hand					24															Play as a Command Card. If your first primary attacker survies combat, all of your other Creatures gain that Creature's Terrain bonus, losing any Terrain bonus that they originally had.		
Voodoo Hat	DN	VoodooHatItemCreatureR2.png,CardBackDoubleBorder.png	item/hand					5															Play on any Shield in the disputed lands during the Terrain Settlement Phase. This Shield may not enter a Stronghold Card. The Voodoo Hat may only be removed or dispelled by burning 2 Power Stones.		
40,000 Useless Warhammers	NP	40000UselessWarhammersMagicItemHandUncom1.png,CardBackDoubleBorder.png	item/hand					25															Play as a Command Card. All non-Guardian Creatures are considered to have a Base Vitality of 0 for this combat.		
Obelisk of Bablos	NP	ObeliskofBablosMagicItemHandUncom3.png,CardBackDoubleBorder.png	item/hand					4															Play as a Command Card. Both players reveal their total Combat Hand Vitality. If opponent's total is higher, he must immediately discard at least 5 Vitality points worth of creatures. Does not affect Guardians.		
Voodoo Hat Rack	NP	VoodooHatRackMagicItemHandCommon2.png,CardBackDoubleBorder.png	item/hand					29															Play during the Terrain Settlement Phase. For each Power Stone you burn, discard one Accessory or Voodoo Hat from play. The Hat Rack works versus any type of Voodoo Hat in play.		
Agent of Shadow	RE	AgentofShadowMortalShadowBrotherhoodRare1.png	mortal	Shadow Brotherhood 			M 	7		0							Y						May only be played as a command card when defending. When played, combat is shifted to the space your oppnt cam from.		
Ancient Ogre	RE	AncientOgreMortalOgreRare2.png	mortal	Ogre               			L 	13		2	L												No channeling vs. Ogre. Opponent cannot channel to any Creature in combat if Ancient Ogre is in play and unbeaten.		
Archer	RE	ArcherMortalKnightCommon1.png	mortal	Knight             			M 	6		0		G				3							3  pt. ranged attack		
Axeman	RE	AxemanMortalKnightUncommon2.png	mortal	Knight             			M 	7		4		G											The roar of a heartbeat deafens the soul to the chaos that reigns in the mind. The Warriors Credo - St. Ballantine.		
Babe Hound	RE	BabeHoundMortalAnimalCommon1.png	mortal	Animal             			M 	2		0							Y						Each of your Creatures fighting an opponent who can be bribed by Babes receives +4 Vitality.		
Big Groaning Cankerd	RE	BigGroaningCankerdMortalCankerdUncommon1.png	mortal	Cankerd            			M 	8		1		G											+3 vs. Creatures affected by fear.		
Brap Back Goblins	RE	BrapBackGoblinsMortalGoblinUncommon1.png	mortal	Goblin             			S 	4		0		G											If opponent in match-up was a large creature, then the large creature's Vitality doesn't count toward control of the space.		
Brown Backs	RE	BrownBacksMortalGoblinCommon1.png	mortal	Goblin             			S 	3		0		G											+4 Vitality vs. large Creatures.		
Bruce the Goose	RE	BrucetheGooseMortalAnimalRare1.png	mortal	Animal             		F	S	1	5	0			B				Y						In the first match-up, play your Creature before your opponent. Opponent must play the highest Base Vitality Creature that yours can beat. Both sides may then try to modify combat through ranged attacks, channeling, etc....		
